#separator:tab
#html:true
#notetype:Basic
#tags column:3
#deck column:4
<div class="word">hike</div><div class="phon">英 /haɪk/ 美 /haɪk/</div>[sound:yd_hike_uk.mp3]	<ul class="trans"><li><i>v.</i> 作长途徒步旅行<div class="en">to take a long walk in the mountains or countryside</div></li></ul><div class="rem">助记 穿着Nike鞋徒步旅行(hike)</div><div class="label">例句</div><ul><li>He wants to hike round the world.<div class="cn">他打算徒步旅行环游世界一周。</div></li></ul><div class="label">搭配</div><ul><li>price hike — 提价；物价上涨</li><li>take a hike — 走路；滚开；哪凉快那歇着去</li><li>hike up — 飘起</li><li>tax hike — 赋税增加</li></ul><div class="rel">同根 hiking <i>n.</i> · hiker <i>n.</i></div>	共有	英语::1-六级雅思共有
<div class="word">consequent</div><div class="phon">英 /&#x27;kɒnsɪkw(ə)nt/ 美 /&#x27;kɑnsəkwənt/</div>[sound:yd_consequent_uk.mp3]	<ul class="trans"><li><i>adj.</i> 作为结果的；必然的<div class="en">happening as a result of a particular event or situation</div></li></ul><div class="rem">助记 con ＋ sequ(跟随) ＋ ent(…的) → 随之发生的</div><div class="label">例句</div><ul><li>the rise in inflation and consequent fall in demand<div class="cn">通货膨胀的加剧和随之而来的需求下降</div></li></ul><div class="label">搭配</div><ul><li>consequent on — 随之而来；跟着…发生的</li></ul><div class="rel">同根 consequential <i>adj.</i> · consequently <i>adv.</i> · consequence <i>n.</i></div>	共有	英语::1-六级雅思共有
<div class="word">dignity</div><div class="phon">英 /&#x27;dɪgnɪtɪ/ 美 /&#x27;dɪɡnəti/</div>[sound:yd_dignity_uk.mp3]	<ul class="trans"><li><i>n.</i> 庄重；尊严；体面<div class="en">the ability to behave in a calm controlled way even in a difficult situation</div></li></ul><div class="rem">助记 dign(有价值的) ＋ ity → 高贵</div><div class="label">真题</div><ul><li>...that these extracurricular jobs were an effort on the part of the workers to regain their dignity after suffering the degradation of repetitive assembly line work in the factory... <span class="src">2013.6 阅读理解</span></li></ul><div class="label">例句</div><ul><li>We do this because we believe in the dignity and value of every person.<div class="cn">我们这样做是因为我们相信每个人的尊严和价值。</div></li><li>They have to be treated well, with dignity.<div class="cn">必须善待申请人，让人有尊严。</div></li></ul><div class="rel">同根 dignified <i>adj.</i> · dignified <i>v.</i> · dignify <i>vt.</i></div>	共有 有真题例句	英语::1-六级雅思共有
<div class="word">optimum</div><div class="phon">英 /&#x27;ɒptɪməm/ 美 /&#x27;ɑptəməm/</div>[sound:yd_optimum_uk.mp3]	<ul class="trans"><li><i>adj.</i> 最优的，最适宜的<div class="en">the best or most suitable for a particular purpose or in a particular situation</div></li></ul><div class="rem">助记 optim(最好) ＋ um → 最好的 → 最适合的</div><div class="label">例句</div><ul><li>optimum conditions for growth<div class="cn">最适宜生长的条件</div></li></ul><div class="label">搭配</div><ul><li>optimum design — 最佳设计，最优设计</li><li>optimum condition — 最适条件；最佳工况</li><li>optimum solution — 最佳（优）解</li><li>optimum control — 最优控制；最佳控制</li></ul><div class="rel">同根 optimal <i>adj.</i> · optimally <i>adv.</i> · optimization <i>n.</i></div>	共有	英语::1-六级雅思共有
<div class="word">integral</div><div class="phon">英 /ˈɪntɪɡrəl/ 美 /&#x27;ɪntɪɡrəl/</div>[sound:yd_integral_uk.mp3]	<ul class="trans"><li><i>adj.</i> 作为组成部分的；内置的<div class="en">provided as part of something, rather than being separate</div></li></ul><div class="rem">助记 integr(整体) ＋ al(…的) → 构成整体的， 完整的 → 构成整体所必需的</div><div class="label">真题</div><ul><li>...We see the potential for capture and storage to play an integral role in reducing emissions... <span class="src">2012.6 阅读理解</span></li></ul><div class="label">例句</div><ul><li>a TV and integral video recorder<div class="cn">内置录像机的电视</div></li></ul><div class="label">搭配</div><ul><li>integral part — 积分部分；整数部份；主要的部分</li><li>integral equation — 积分方程</li><li>integral method — 积分法</li><li>integral structure — 整体结构</li></ul><div class="rel">同根 integrate <i>adj.</i> · integrated <i>adj.</i> · integrally <i>adv.</i> · integrity <i>n.</i> · integrate <i>n.</i> · integer <i>n.</i> · integrated <i>v.</i> · integrate <i>vi.</i></div>	共有 有真题例句	英语::1-六级雅思共有
<div class="word">ample</div><div class="phon">英 /&#x27;æmp(ə)l/ 美 /&#x27;æmpl/</div>[sound:yd_ample_uk.mp3]	<ul class="trans"><li><i>adj.</i> 足够的；宽敞的<div class="en">more than enough</div></li></ul><div class="label">例句</div><ul><li>There&#x27;ll be ample opportunity to relax, swim and soak up some sun.<div class="cn">将会有充足的机会来放松、游泳和接受一些阳光。</div></li></ul><div class="label">搭配</div><ul><li>ample evidence — 充分证据</li></ul><div class="rel">同根 amply <i>adv.</i> · ampleness <i>n.</i></div>	共有	英语::1-六级雅思共有
<div class="word">lease</div><div class="phon">英 /liːs/ 美 /lis/</div>[sound:yd_lease_uk.mp3]	<ul class="trans"><li><i>n.</i> 租约，契约，租契<div class="en">a legal agreement which allows you to use a building, car etc for a period of time, in return for rent</div></li></ul><div class="rem">助记 l ＋ ease(安心) → 有了租约才安心 → 租约</div><div class="label">例句</div><ul><li>The landlord refused to renew his lease.<div class="cn">房东拒绝和他续签租约。</div></li><li>The 99-year lease expired in 1999.<div class="cn">99年期的租约于1999年到期。</div></li></ul><div class="label">搭配</div><ul><li>lease contract — 租契；租赁契约</li><li>lease term — 租赁期</li><li>financial lease — 融资性租赁；财务租赁</li><li>land lease — 批地契约；土地批租；土地契约</li></ul><div class="rel">同根 leased <i>adj.</i> · leased <i>n.</i> · leaseholder <i>n.</i> · leased <i>v.</i></div>	共有	英语::1-六级雅思共有
<div class="word">charter</div><div class="phon">英 /&#x27;tʃɑːtə/ 美 /&#x27;tʃɑrtɚ/</div>[sound:yd_charter_uk.mp3]	<ul class="trans"><li><i>v.</i> 包租（飞机、船等）<div class="en">to pay a company for the use of their aircraft, boat etc</div></li></ul><div class="label">例句</div><ul><li>We chartered a boat to take us to some of the smaller islands.<div class="cn">我们包了一条船带我们到一些较小的岛上去。</div></li></ul><div class="label">搭配</div><ul><li>charter party — 佣船契约；包船契约；租船方</li><li>olympic charter — 奥林匹克宪章</li><li>charter flight — 包机</li><li>time charter — 定期租船契约</li></ul><div class="rel">同根 chartered <i>adj.</i> · chartist <i>n.</i> · chartism <i>n.</i> · chartered <i>v.</i></div>	共有	英语::1-六级雅思共有
<div class="word">executive</div><div class="phon">英 /ɪg&#x27;zekjʊtɪv; eg-/ 美 /ɪɡ&#x27;zɛkjətɪv/</div>[sound:yd_executive_uk.mp3]	<ul class="trans"><li><i>n.</i> （机构或公司的）主管，经理<div class="en">a manager in an organization or company who helps make important decisions</div></li></ul><div class="label">真题</div><ul><li>...the founder and executive director of the program... <span class="src">2017.6 阅读理解</span></li><li>...chief executive officer of Sustainable Business Consulting... <span class="src">2016.6 阅读理解</span></li></ul><div class="label">例句</div><ul><li>a marketing executive<div class="cn">营销主管</div></li></ul><div class="label">搭配</div><ul><li>chief executive — 行政长官；董事长；美国总统；（美国的）州长</li><li>executive director — 执行理事；常务董事</li><li>executive committee — 执行委员会</li><li>executive officer — 主任参谋，执行官</li></ul><div class="rel">同根 exec <i>abbr.</i> · executed <i>adj.</i> · executable <i>adj.</i> · executorial <i>adj.</i> · execution <i>n.</i> · executor <i>n.</i> · exec <i>n.</i> · executed <i>v.</i></div>	共有 有真题例句	英语::1-六级雅思共有
<div class="word">main</div><div class="phon">英 /meɪn/</div>[sound:yd_main_uk.mp3]	<ul class="trans"><li><i>n.</i> 总管道，干线<div class="en">a large pipe or wire carrying the public supply of water, electricity, or gas</div></li></ul><div class="label">真题</div><ul><li>...the main task of vocational college is cultivating human resource with practical capability... <span class="src">2017.6 写作题</span></li><li>...Both attending a vocational college or a university serves as two main options for the high school graduates... <span class="src">2017.6 写作题</span></li></ul><div class="label">例句</div><ul><li>The report found that many of Yorkshire’s water mains needed replacing.<div class="cn">报告中说约克郡的很多自来水总管道需要更换。</div></li><li>a burst gas main<div class="cn">破裂的煤气总管道</div></li></ul><div class="label">搭配</div><ul><li>main products — 主要产品</li><li>main body — 主体，主要部分；主船体；机身</li><li>main reason — 主要原因</li><li>main content — 主要内容</li></ul><div class="rel">同根 mainly <i>adv.</i> · mainstay <i>n.</i> · mainspring <i>n.</i></div>	共有 有真题例句	英语::1-六级雅思共有
<div class="word">overall</div><div class="phon">英 /&#x27;əʊvərɔːl/ 美 /,ovə&#x27;rɔl/</div>[sound:yd_overall_uk.mp3]	<ul class="trans"><li><i>adj.</i> 总的<div class="en">You use overall to indicate that you are talking about a situation in general or about the whole of something</div></li></ul><div class="label">真题</div><ul><li>...which typically rises faster than wages and the overall economy... <span class="src">2016.6 阅读理解</span></li><li>...and that it&#x27;s related to the company&#x27;s overall strategy... <span class="src">2016.6 听力题</span></li></ul><div class="label">例句</div><ul><li>...the overall rise in unemployment.<div class="cn">…失业人数的总体上升。</div></li></ul><div class="label">搭配</div><ul><li>overall situation — 大局；总体形势</li><li>overall quality — 综合质量；总的质量</li><li>overall development — 综合开发</li><li>overall planning — 整体规划；全面规划</li></ul><div class="rel">同根 overbearing <i>adj.</i> · overbearing <i>v.</i></div>	共有 有真题例句	英语::1-六级雅思共有
<div class="word">ultraviolet</div><div class="phon">英 /ʌltrə&#x27;vaɪələt/ 美 /,ʌltrə&#x27;vaɪələt/</div>[sound:yd_ultraviolet_uk.mp3]	<ul class="trans"><li><i>adj.</i> 紫外（线）的<div class="en">ultraviolet light cannot be seen by people, but is responsible for making your skin darker when you are in the sun</div></li></ul><div class="rem">助记 ultra(超…的) ＋ violet(紫罗兰， 紫色) → 紫外线的</div><div class="label">例句</div><ul><li>The sun&#x27;s ultraviolet rays are responsible for both tanning and burning.<div class="cn">太阳的紫外线是皮肤晒黑和晒伤的原因。</div></li></ul><div class="label">搭配</div><ul><li>ultraviolet radiation — 紫外线；紫外线照射</li><li>ultraviolet light — 紫外线</li><li>ultraviolet ray — 紫外线</li><li>ultraviolet irradiation — 紫外线照射</li></ul>	共有	英语::1-六级雅思共有
<div class="word">endow</div><div class="phon">英 /ɪn&#x27;daʊ; en-/ 美 /ɪn&#x27;daʊ/</div>[sound:yd_endow_uk.mp3]	<ul class="trans"><li><i>v.</i> 资助；赋予<div class="en">to give a college, hospital etc a large sum of money that provides it with an income</div></li></ul><div class="label">例句</div><ul><li>The ambassador has endowed a $1 million public-service fellowships programme.<div class="cn">大使资助了一个100万美元的公共服务奖学金项目。</div></li><li>You are endowed with wealth, good health and a lively intellect.<div class="cn">你天生赋有财富、健康，和敏锐的智力。</div></li></ul><div class="label">搭配</div><ul><li>endow with — 赋予；具有</li></ul><div class="rel">同根 endowment <i>n.</i></div>	共有	英语::1-六级雅思共有
<div class="word">qualification</div><div class="phon">英 /,kwɒlɪfɪ&#x27;keɪʃ(ə)n/ 美 /,kwɑlɪfɪ&#x27;keʃən/</div>[sound:yd_qualification_uk.mp3]	<ul class="trans"><li><i>n.</i> 资格；学历<div class="en">if you have a qualification, you have passed an examination or course to show you have a particular level of skill or knowledge in a subject</div></li></ul><div class="label">例句</div><ul><li>He left school without any qualifications.<div class="cn">他离校时没有拿到任何文凭。</div></li></ul><div class="label">搭配</div><ul><li>qualification certificate — 资格证书</li><li>professional qualification — 专业资格；职称等级</li><li>qualification test — 资格考试；合格试验；质量鉴定试验</li><li>procedure qualification — 工艺评定；程序评定</li></ul><div class="rel">同根 qualified <i>adj.</i> · qualifying <i>adj.</i> · qualifier <i>n.</i> · qualified <i>v.</i> · qualify <i>vi.</i> · qualify <i>vt.</i></div>	共有	英语::1-六级雅思共有
<div class="word">crash</div><div class="phon">英 /kræʃ/ 美 /kræʃ/</div>[sound:yd_crash_uk.mp3]	<ul class="trans"><li><i>v.</i> （发出巨响的） 猛撞<div class="en">If something crashes somewhere, it moves and hits something else violently, making a loud noise</div></li></ul><div class="rem">助记 破裂声 → 碰撞</div><div class="label">真题</div><ul><li>...Reports are coming in of a major train crash in Japan... <span class="src">2009.6 听力题</span></li></ul><div class="label">例句</div><ul><li>The door swung inwards to crash against a chest of drawers behind it.<div class="cn">门摆向里面，砰的一声猛力撞上了门后的五斗橱。</div></li><li>My words were lost as the walls above us crashed down, filling the cellar with brick dust.<div class="cn">随着上面的墙体轰隆一声倒塌下来，地窖里充满砖灰，我吓得说不出话来。</div></li></ul><div class="label">搭配</div><ul><li>car crash — 车祸；汽车碰撞</li><li>air crash — 飞机失事</li><li>stock market crash — 股市崩盘；股市行情暴跌</li><li>crash course — 速成课（等于cram course）</li></ul><div class="rel">同根 crashing <i>adj.</i> · crasher <i>n.</i> · crashing <i>v.</i></div>	共有 有真题例句	英语::1-六级雅思共有
<div class="word">superb</div><div class="phon">英 /suː&#x27;pɜːb; sjuː-/ 美 //suːˈpɜːrb//</div>[sound:yd_superb_uk.mp3]	<ul class="trans"><li><i>adj.</i> 壮丽的；超等的<div class="en">extremely good</div></li></ul><div class="label">例句</div><ul><li>The food was superb.<div class="cn">食物好吃极了。</div></li></ul><div class="rel">同根 super <i>adj.</i> · superbly <i>adv.</i> · super <i>n.</i></div>	共有	英语::1-六级雅思共有
<div class="word">ornament</div><div class="phon">英 /&#x27;ɔːnəm(ə)nt/ 美 /&#x27;ɔrnəmənt/</div>[sound:yd_ornament_uk.mp3]	<ul class="trans"><li><i>n.</i> 装饰物<div class="en">a small object that you keep in your house because it is beautiful rather than useful</div></li></ul><div class="rem">助记 orn(装饰) ＋ ament → 装饰</div><div class="label">例句</div><ul><li>a shelf covered with books and ornaments<div class="cn">摆满书籍和装饰品的架子</div></li></ul><div class="rel">同根 ornamental <i>adj.</i> · ornamentally <i>adv.</i> · ornamental <i>n.</i> · ornamentation <i>n.</i> · ornamentalist <i>n.</i></div>	共有	英语::1-六级雅思共有
