rank,frontend_question_id,title,level,frequency,leetcode_url,slug,codetop_id,leetcode_id,last_seen_time
1,3,无重复字符的最长子串,中等,1151,https://leetcode.cn/problems/longest-substring-without-repeating-characters,longest-substring-without-repeating-characters,1681,1681,2026-06-10T09:54:53.930000Z
2,146,LRU缓存机制,中等,929,https://leetcode.cn/problems/lru-cache,lru-cache,1538,1538,2026-06-10T02:32:16.212000Z
3,206,反转链表,简单,744,https://leetcode.cn/problems/reverse-linked-list,reverse-linked-list,1478,1478,2026-06-03T16:00:00Z
4,215,数组中的第K个最大元素,中等,597,https://leetcode.cn/problems/kth-largest-element-in-an-array,kth-largest-element-in-an-array,1469,1469,2026-05-28T11:32:26.383000Z
5,25,K 个一组翻转链表,困难,521,https://leetcode.cn/problems/reverse-nodes-in-k-group,reverse-nodes-in-k-group,1659,1659,2026-06-05T08:28:24.220000Z
6,15,三数之和,中等,478,https://leetcode.cn/problems/3sum,3sum,1669,1669,2026-06-06T11:47:36.077000Z
7,53,最大子数组和,中等,374,https://leetcode.cn/problems/maximum-subarray,maximum-subarray,1631,1631,2026-06-08T16:00:00Z
8,补充题4,手撕快速排序,中等,354,https://leetcode.cn/problems/sort-an-array,sort-an-array,1906,1906,2026-06-09T11:44:55.645000Z
9,5,最长回文子串,中等,349,https://leetcode.cn/problems/longest-palindromic-substring,longest-palindromic-substring,1679,1679,2026-06-04T16:00:00Z
10,21,合并两个有序链表,简单,330,https://leetcode.cn/problems/merge-two-sorted-lists,merge-two-sorted-lists,1663,1663,2026-04-30T07:46:11.819000Z
11,102,二叉树的层序遍历,中等,328,https://leetcode.cn/problems/binary-tree-level-order-traversal,binary-tree-level-order-traversal,1582,1582,2026-05-28T03:07:19.404000Z
12,200,岛屿数量,中等,327,https://leetcode.cn/problems/number-of-islands,number-of-islands,1484,1484,2026-05-25T16:00:00Z
13,33,搜索旋转排序数组,中等,309,https://leetcode.cn/problems/search-in-rotated-sorted-array,search-in-rotated-sorted-array,1651,1651,2026-06-10T15:08:42.676000Z
14,1,两数之和,简单,302,https://leetcode.cn/problems/two-sum,two-sum,1683,1683,2026-04-28T16:00:00Z
15,46,全排列,中等,296,https://leetcode.cn/problems/permutations,permutations,1638,1638,2026-04-16T16:00:00Z
16,20,有效的括号,简单,295,https://leetcode.cn/problems/valid-parentheses,valid-parentheses,1664,1664,2026-06-03T16:00:00Z
17,88,合并两个有序数组,简单,294,https://leetcode.cn/problems/merge-sorted-array,merge-sorted-array,1596,1596,2026-04-21T11:05:22.312000Z
18,121,买卖股票的最佳时机,简单,278,https://leetcode.cn/problems/best-time-to-buy-and-sell-stock,best-time-to-buy-and-sell-stock,1563,1563,2026-04-29T16:00:00Z
19,92,反转链表 II,中等,269,https://leetcode.cn/problems/reverse-linked-list-ii,reverse-linked-list-ii,1592,1592,2026-06-09T13:25:49.192000Z
20,300,最长上升子序列,中等,267,https://leetcode.cn/problems/longest-increasing-subsequence,longest-increasing-subsequence,1384,1384,2026-06-01T16:00:00Z
21,103,二叉树的锯齿形层次遍历,中等,266,https://leetcode.cn/problems/binary-tree-zigzag-level-order-traversal,binary-tree-zigzag-level-order-traversal,1581,1581,2026-05-01T08:38:19.581000Z
22,236,二叉树的最近公共祖先,中等,265,https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree,lowest-common-ancestor-of-a-binary-tree,1448,1448,2026-05-18T15:38:37.554000Z
23,23,合并K个排序链表,困难,256,https://leetcode.cn/problems/merge-k-sorted-lists,merge-k-sorted-lists,1661,1661,2026-06-08T13:31:49.805000Z
24,54,螺旋矩阵,中等,254,https://leetcode.cn/problems/spiral-matrix,spiral-matrix,1630,1630,2026-06-07T16:00:00Z
25,143,重排链表,中等,253,https://leetcode.cn/problems/reorder-list,reorder-list,1541,1541,2026-05-27T13:23:36.188000Z
26,141,环形链表,简单,250,https://leetcode.cn/problems/linked-list-cycle,linked-list-cycle,1543,1543,2026-06-01T16:00:00Z
27,415,字符串相加,简单,241,https://leetcode.cn/problems/add-strings,add-strings,1269,1269,2026-04-15T13:46:36.050000Z
28,56,合并区间,中等,239,https://leetcode.cn/problems/merge-intervals,merge-intervals,1628,1628,2026-05-28T16:00:00Z
29,160,相交链表,简单,201,https://leetcode.cn/problems/intersection-of-two-linked-lists,intersection-of-two-linked-lists,1524,1524,2026-05-07T16:00:00Z
30,72,编辑距离,困难,200,https://leetcode.cn/problems/edit-distance,edit-distance,1612,1612,2026-05-17T16:00:00Z
31,42,接雨水,困难,197,https://leetcode.cn/problems/trapping-rain-water,trapping-rain-water,1642,1642,2026-05-27T07:43:59.362000Z
32,1143,最长公共子序列,中等,196,https://leetcode.cn/problems/longest-common-subsequence,longest-common-subsequence,485,485,2026-06-04T16:00:00Z
33,82,删除排序链表中的重复元素 II,中等,185,https://leetcode.cn/problems/remove-duplicates-from-sorted-list-ii,remove-duplicates-from-sorted-list-ii,1602,1602,2026-05-13T08:10:43.897000Z
34,93,复原IP地址,中等,185,https://leetcode.cn/problems/restore-ip-addresses,restore-ip-addresses,1591,1591,2026-05-12T16:00:00Z
35,124,二叉树中的最大路径和,困难,183,https://leetcode.cn/problems/binary-tree-maximum-path-sum,binary-tree-maximum-path-sum,1560,1560,2026-05-27T11:30:08.958000Z
36,19,删除链表的倒数第N个节点,中等,182,https://leetcode.cn/problems/remove-nth-node-from-end-of-list,remove-nth-node-from-end-of-list,1665,1665,2026-05-26T16:00:00Z
37,4,寻找两个正序数组的中位数,困难,171,https://leetcode.cn/problems/median-of-two-sorted-arrays,median-of-two-sorted-arrays,1680,1680,2026-05-27T16:00:00Z
38,142,环形链表 II,中等,170,https://leetcode.cn/problems/linked-list-cycle-ii,linked-list-cycle-ii,1542,1542,2026-05-08T09:19:39.031000Z
39,165,比较版本号,中等,164,https://leetcode.cn/problems/compare-version-numbers,compare-version-numbers,1519,1519,2026-06-02T04:11:20.197000Z
40,199,二叉树的右视图,中等,161,https://leetcode.cn/problems/binary-tree-right-side-view,binary-tree-right-side-view,1485,1485,2026-05-28T10:43:25.630000Z
